brand,aspect,pct
Armani,Awareness,82
Armani,Popularity,34
Armani,Ownership,21
Armani,Loyalty,14
Armani,Buzz,23
Armani,Brand unknown,18
Gucci,Awareness,92
Gucci,Popularity,50
Gucci,Ownership,37
Gucci,Loyalty,30
Gucci,Buzz,33
Gucci,Brand unknown,8
Dior,Awareness,87
Dior,Popularity,44
Dior,Ownership,31
Dior,Loyalty,22
Dior,Buzz,36
Dior,Brand unknown,13
Hermès,Awareness,60
Hermès,Popularity,18
Hermès,Ownership,8
Hermès,Loyalty,5
Hermès,Buzz,10
Hermès,Brand unknown,40
Louis Vuitton,Awareness,86
Louis Vuitton,Popularity,44
Louis Vuitton,Ownership,29
Louis Vuitton,Loyalty,24
Louis Vuitton,Buzz,28
Louis Vuitton,Brand unknown,14
